Fri May 26 12:00:51 2023 
Setup time: 0.00 seconds
--------------------- 
Step 	 Time 	 Stopwatch 	 Average Temperature 	 Nusselt Number 	 Vrms 	 Surface Heat Flux 	 Bottom Heat Flux 	 Other Walls Heat Flux 
114 	 0.00 	 0.74 	  0.49967 	 2.46600 	 67766.29891 	 7.39799 	 7.39243 	 40.06031 	 
115 	 0.00 	 0.79 	  0.49967 	 2.48933 	 67956.84433 	 7.46800 	 7.46207 	 40.09939 	 
116 	 0.00 	 0.73 	  0.49967 	 2.51293 	 68144.59486 	 7.53879 	 7.53247 	 40.13786 	 
117 	 0.00 	 0.77 	  0.49967 	 2.53679 	 68329.55188 	 7.61036 	 7.60366 	 40.17572 	 
118 	 0.00 	 0.76 	  0.49967 	 2.56091 	 68511.71697 	 7.68272 	 7.67562 	 40.21292 	 
119 	 0.00 	 0.77 	  0.49967 	 2.58529 	 68691.09181 	 7.75587 	 7.74837 	 40.24947 	 
120 	 0.00 	 0.72 	  0.49967 	 2.60994 	 68867.67820 	 7.82983 	 7.82193 	 40.28533 	 
121 	 0.00 	 0.87 	  0.49967 	 2.63487 	 69041.47811 	 7.90460 	 7.89628 	 40.32048 	 
122 	 0.00 	 0.76 	  0.49967 	 2.66007 	 69212.49359 	 7.98020 	 7.97146 	 40.35492 	 
123 	 0.00 	 0.76 	  0.49967 	 2.68554 	 69380.72686 	 8.05662 	 8.04745 	 40.38861 	 
124 	 0.00 	 0.76 	  0.49967 	 2.71129 	 69546.18022 	 8.13388 	 8.12427 	 40.42154 	 
125 	 0.00 	 0.76 	  0.49967 	 2.73733 	 69708.85612 	 8.21199 	 8.20193 	 40.45370 	 
126 	 0.00 	 0.75 	  0.49967 	 2.76365 	 69868.75710 	 8.29095 	 8.28044 	 40.48505 	 
127 	 0.00 	 0.81 	  0.49967 	 2.79026 	 70025.88583 	 8.37078 	 8.35981 	 40.51560 	 
128 	 0.00 	 0.74 	  0.49967 	 2.81716 	 70180.24508 	 8.45148 	 8.44004 	 40.54533 	 
129 	 0.00 	 0.77 	  0.49967 	 2.84435 	 70331.83773 	 8.53306 	 8.52114 	 40.57421 	 
130 	 0.00 	 0.75 	  0.49967 	 2.87184 	 70480.66677 	 8.61553 	 8.60313 	 40.60224 	 
131 	 0.00 	 0.85 	  0.49967 	 2.89963 	 70626.73528 	 8.69890 	 8.68600 	 40.62940 	 
132 	 0.00 	 0.77 	  0.49967 	 2.92773 	 70770.04644 	 8.78318 	 8.76978 	 40.65567 	 
133 	 0.00 	 0.74 	  0.49967 	 2.95613 	 70910.60354 	 8.86838 	 8.85446 	 40.68105 	 
134 	 0.00 	 0.74 	  0.49967 	 2.98483 	 71048.40955 	 8.95450 	 8.94006 	 40.70552 	 
135 	 0.00 	 0.80 	  0.49967 	 3.01385 	 71183.46510 	 9.04155 	 9.02659 	 40.72907 	 
136 	 0.00 	 0.76 	  0.49967 	 3.04318 	 71315.77390 	 9.12955 	 9.11405 	 40.75170 	 
137 	 0.00 	 0.77 	  0.49967 	 3.07283 	 71445.33979 	 9.21850 	 9.20245 	 40.77340 	 
138 	 0.00 	 0.76 	  0.49967 	 3.10280 	 71572.16666 	 9.30841 	 9.29181 	 40.79415 	 
139 	 0.00 	 0.79 	  0.49967 	 3.13310 	 71696.25851 	 9.39929 	 9.38213 	 40.81396 	 
140 	 0.00 	 0.72 	  0.49967 	 3.16372 	 71817.61941 	 9.49116 	 9.47343 	 40.83282 	 
141 	 0.00 	 0.87 	  0.49967 	 3.19467 	 71936.25350 	 9.58402 	 9.56570 	 40.85073 	 
142 	 0.00 	 0.78 	  0.49967 	 3.22596 	 72052.16499 	 9.67788 	 9.65897 	 40.86768 	 
143 	 0.00 	 0.74 	  0.49967 	 3.25758 	 72165.35818 	 9.77275 	 9.75324 	 40.88367 	 
144 	 0.00 	 0.76 	  0.49967 	 3.28955 	 72275.83742 	 9.86864 	 9.84853 	 40.89871 	 
145 	 0.00 	 0.78 	  0.49967 	 3.32185 	 72383.60714 	 9.96556 	 9.94484 	 40.91279 	 
146 	 0.00 	 0.75 	  0.49967 	 3.35451 	 72488.67183 	 10.06353 	 10.04218 	 40.92592 	 
147 	 0.00 	 0.80 	  0.49967 	 3.38751 	 72591.03604 	 10.16254 	 10.14056 	 40.93811 	 
148 	 0.00 	 0.75 	  0.49967 	 3.42088 	 72690.70438 	 10.26263 	 10.24000 	 40.94935 	 
149 	 0.00 	 0.79 	  0.49967 	 3.45459 	 72787.68152 	 10.36378 	 10.34051 	 40.95967 	 
150 	 0.00 	 0.76 	  0.49967 	 3.48867 	 72881.97218 	 10.46602 	 10.44209 	 40.96906 	 
151 	 0.00 	 0.85 	  0.49967 	 3.52312 	 72973.58114 	 10.56936 	 10.54476 	 40.97753 	 
